Name,Price,Qty,Total Price,Link,Notes,,,,,,
Corner Brace,3.27,2,6.54,https://www.homedepot.com/p/Everbilt-4-Pack-2-in-Zinc-Plated-Inside-Corner-Brace-33595/327600580,,,,,,,
ER11 Collet set,22.99,1,22.99,https://www.amazon.com/SILIVN-ER11-Engraving-Workholding-including/dp/B0C592T9DR?crid=2WPH7CAU69SHB&dib=eyJ2IjoiMSJ9.-zb-eDoTgFELGWee4uduyrkho9n8JJFZE7qM6xayxImY2hJEQaUtufsfv-lLi8qB9M1x0-Gv0UCUoTBToLk7WSMrB0TcBdr2RGK1caVJmBYAISYRiORqQm3iPw-PwB61TYiklb98s16ClrJ81-0j5dgCjRIwoG3SiJ1WrJfCekzSqex5sblCwg8cFafCV_L6A9-3mIT73Fkqmq7d52t08UQ8Xx4lLwmJlz9LkgsrCfcrsN7teyyss7-3CymfYard3hQbqPLFQlr_IWJIaV-KtPdoUwtRbmzKgxVOFTd31Dk.uo2AFtkLfKzY8X7SBo6vS7mSzMcNb7dR58mZhJkZuj8&dib_tag=se&keywords=er11%2Bcollet&qid=1789074334&s=industrial&sprefix=er11%2Bcollet%2B%2Cindustrial%2C180&sr=1-1&th=1,,,,,,,
1/8in single-flute aluminum milling cutter,7.09,1,7.09,https://www.aliexpress.us/item/2255800863886532.html?spm=a2g0o.productlist.main.2.34eb60bcU3f0US&algo_pvid=95e5f707-0338-4546-888a-280ea9737464&algo_exp_id=95e5f707-0338-4546-888a-280ea9737464-1&pdp_ext_f=%7B%22order%22%3A%22206%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.52%211.09%21%21%216.52%211.09%21%4021030f8317890748723874172e0f5a%2112000035202715217%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afeb89357%3Bm03_new_user%3A-29895%3BpisId%3A5000000210788678&curPageLogUid=V3F7QMk1CAwk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001050201284%7C_p_origin_prod%3A,,,,,,,
Aluminum Stock,varies,~15000 sq mm,,https://www.aliexpress.us/item/3256805779894146.html?spm=a2g0o.productlist.main.1.20643d04goB1hU&algo_pvid=be5e8359-c074-49c7-949c-d97d4a9c28b5&algo_exp_id=be5e8359-c074-49c7-949c-d97d4a9c28b5-0&pdp_ext_f=%7B%22order%22%3A%222972%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.79%211.09%21%21%2131.97%217.26%21%402101e56817890771837161644e1035%2112000035086418949%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afeb89357%3Bm03_new_user%3A-29895%3BpisId%3A5000000210788688&curPageLogUid=wLEeApLlEFs5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005966208898%7C_p_origin_prod%3A,,,,,,,
M5 screw set,9.99,1,9.99,https://www.amazon.com/Fgruh-380PCS-Button-Screw-Assortment/dp/B0H4YQFYJB?crid=8SKMVJJBNTW6&dib=eyJ2IjoiMSJ9.HHfi2-mOhqw9VBJ6HyRndpzrATMw9YUWNhDOKzIn2Oj0nJBY6ow5RBqcOdbzDfoqg9n0h9XNaDh-5JDeut4WoANnsnuSXVsXF-uSoobh4kfosbpoQt2LKpQj5-M5WbKEX_W7tz3aBtWMe7Ffdvxf1R4eS_7fjh1nNNxBgw_UncIsnqK7qcpeUmT0rnRivKPWKtHpY4TgynHLzMwExuxDgU96C6XG0jmo-BPPKDbW3Uk.jiCxrrgHz18fa6Ac2EV_6hUtbMnDQHC5PTpIs9Ug_rk&dib_tag=se&keywords=m5%2Bscrew%2Bset%2Bbutton%2Bhead&qid=1789078336&sprefix=m5%2Bscrew%2Bset%2Bbutton%2Bhea%2Caps%2C144&sr=8-2&th=1,,,,,,,
M5*12mm,8.89,1,8.89,https://www.amazon.com/iexcell-Thread-Socket-Button-Screws/dp/B0CTH2YHQ5?crid=EMPRX9FYY8PE&dib=eyJ2IjoiMSJ9.FPRRLQfyYtfPs9ikymeY33OZN6w2dRVf2gXqLWXlnGQUn3RFtKd3nFfyl61b6wn_gLhKw9pWkkqQgByG4RubMXmaxxgEI1VKhlUGEQ-ryyhHGFor_NFWcJNqq5lczHRjY-2Q0m7mMjNIhQoPSGXptsa2gvO9-eYDM2hhfhKT-4eTPE9Usns7sA2MM07BhVmUliSzW7kJczdjtSvQPM4_3FGps3Mmeypf5aBcpGMuWbQ.1aWLd39-Aom-qt3PC2JhPRbhOKgoa-Dr7KGufKSYZsw&dib_tag=se&keywords=m5*12&qid=1789078442&sprefix=m5%2B12%2Caps%2C147&sr=8-6&th=1,,,,,,,
M5*45mm,7.19,1,7.19,https://www.amazon.com/SVLING-M5-0-8-Socket-Threads-Spanner/dp/B0GHN852F3?crid=XI26VAZGGYOQ&dib=eyJ2IjoiMSJ9.MwWPgkdBMtUzLkH39lPEuUiicC8vhDwUVpHZn_vj0YKwmSY88x-lEPkJat43Bd2K2AkMbcRNIUoJ_Pgr5qg1c1WA4wvocQvrmqytWh5ce66uXbYx1YRbFT4tXjOjVsjZ3yfn1YiJaEewpBRlzQl2e4dt6kuNLUk-gpOrbaVp8AqkwfmvhWO7K7tc97Y7-IqynMBkOOOaONJLCvfSzx7_RU4aS2USF7vmqMDXyqHyH0A.mhNTXmL9-35oFLgPYeuOPzsyYy0T12js4UPu2cNxWq4&dib_tag=se&keywords=m5*45&qid=1789078493&sprefix=m5%2B12%2Caps%2C158&sr=8-2&th=1,,,,,,,
M5 locknuts,6.49,1,6.49,https://www.amazon.com/Locknuts-Inserted-Self-Lock-M5x0-8mm-Locking/dp/B0DFY86HG1?crid=1HP3U5GSJMH1U&dib=eyJ2IjoiMSJ9.TVy9gMT7DDuwApWHZ62tbj67C5QxB1-fSxZrPXTcnK1LLUGpkmBpBqGRk_HHmy94ZB-ePeCVjTshc_bYH_RcAUglk8ys4a5ahrmp80nwNYmV5MudsTf2ln0q-0BUisJU43U6_yWIaKt32_jNy5fGAgLMvaYj9uKfi_0_yzrEiis8C1Wds4jNYinkdC8rF9fKYzxocvW4CKX2bp0qVOgVUxAQDgO36s_N9VPH152Qh70.wV1HXVzMDzbeSpXC7h5-DQFO69nZxECHdfMwn1vPiSo&dib_tag=se&keywords=m5%2Blocknuts&qid=1789078583&sprefix=m5%2Blocknuty%2Caps%2C151&sr=8-5&th=1,,,,,,,
Contactor,14.99,1,14.99,https://www.amazon.com/BOJACK-Conditioner-Condenser-Compressor-Contactor/dp/B08PZG5NNR?crid=2YGSAY06Z0LW1&dib=eyJ2IjoiMSJ9.sgmVS-dCEpZ8yaxRTB9S6DQayruGOCkKBykqIteu3aMbHk_-nqWwwMaAPXWUmiIRYjn13uJS_XRm9bLPy1VvbZjjhUhoPRP3OEazIqWTu2hQdvdgrsPSBnkRia3PhcVE949zig29brKSD-YMwJt3OVpR_zgUU2GboXEXtjT7-EooSqclG-7PewRv9kvYLpMZgsBQa9szloh9-9kH-82vHaBgvNUjEURr2W_RtacojYE.rmrXOx6G3eU1rFuQ_CWEAQJiz_UO1PebvCXgEaeYEME&dib_tag=se&keywords=AC%2Bcontactor&qid=1789080285&sprefix=ac%2Bcontactor%2Caps%2C152&sr=8-2&th=1,,,,,,,
Lolzbot TAZ Pro Parts,,,,,This project is meant to be done if you have one of these lying around. You are not meant to buy a new one.,,,,,,
Z-axis Assembly,,2,,,Both full z-axis assemblies - becomes the x-axis,,,,,,
Y-axis Assembly,,1,,,The bed (y-axis) assembly - becomes the y-axis,,,,,,
Bare Nema17,,1,,,for z-axis,,,,,,
Control Box Assembly,,1,,,"The control box assembly. Should have atleast the power supply, AC input, and power switch",,,,,,
